iter	RMSE
0	3357.145608
1	3204.373338
2	3058.175715
3	2917.014297
4	2782.917754
5	2653.402702
6	2532.142374
7	2420.202295
8	2311.683877
9	2203.767403
10	2104.400802
11	2007.612747
12	1915.33471
13	1827.676422
14	1746.517564
15	1667.592552
16	1590.47476
17	1518.484249
18	1450.260856
19	1384.298156
20	1322.121674
21	1264.767597
22	1208.310211
23	1153.536795
24	1103.726274
25	1054.767283
26	1007.825509
27	962.7307442
28	921.9643347
29	880.8070168
30	841.2100195
31	803.9077538
32	770.116534
33	737.0696034
34	706.037928
35	674.871805
36	645.6962001
37	619.2749308
38	592.9063377
39	567.3778095
40	542.8028089
41	520.6632142
42	499.0150172
43	479.0475198
44	459.7140353
45	441.9621579
46	424.6766081
47	407.8516971
48	391.8684874
49	376.5699705
50	362.3270069
51	348.6492548
52	335.6463783
53	323.2985758
54	311.891339
55	301.5888356
56	291.1711643
57	281.5273451
58	272.2150635
59	263.5748043
60	255.5387893
61	247.9601993
62	241.0279447
63	234.2305199
64	228.1243023
65	222.3071426
66	216.8950621
67	211.4364416
68	206.1703281
69	201.306617
70	196.8889233
71	192.9336436
72	188.9588065
73	185.5135158
74	182.0893278
75	178.8943427
76	176.0499824
77	173.3065194
78	170.3695236
79	167.6185731
80	165.0834371
81	163.097897
82	161.2136498
83	159.2709022
84	157.3731032
85	155.7119948
86	154.3215351
87	152.7104292
88	151.1102775
89	149.9634359
90	148.783635
91	147.491145
92	145.9815824
93	144.934242
94	143.9315228
95	142.7275505
96	141.8847051
97	140.9515215
98	140.2666113
99	139.3107012
100	138.6492959
101	137.8407034
102	137.162361
103	136.4522406
104	135.9611561
105	135.2615547
106	134.734737
107	134.2719875
108	133.7819361
109	132.9433415
110	132.532119
111	131.9911529
112	131.3595604
113	130.7115747
114	130.2330588
115	129.7142928
116	129.3339288
117	128.9571118
118	128.5329968
119	127.9776175
120	127.5573215
121	127.2943921
122	126.9903877
123	126.7339485
124	126.2818658
125	125.8849597
126	125.5195138
127	125.2589062
128	125.0202481
129	124.7099537
130	124.3792404
131	124.1640239
132	123.8968141
133	123.6680293
134	123.4101155
135	123.0849196
136	122.7891527
137	122.5871117
138	122.2382215
139	121.8964146
140	121.7005753
141	121.3697136
142	121.0856395
143	120.8159368
144	120.7059304
145	120.4282467
146	120.1692087
147	119.8339008
148	119.7350293
149	119.5213576
150	119.3756437
151	119.0426952
152	118.73494
153	118.4977445
154	118.2922765
155	118.1415429
156	117.9952474
157	117.8366729
158	117.5477271
159	117.4369978
160	117.1493754
161	116.831486
162	116.5744121
163	116.4774564
164	116.2538556
165	116.0469143
166	115.8268879
167	115.6303209
168	115.477936
169	115.2818414
170	115.0679202
171	114.9502558
172	114.8019366
173	114.5418221
174	114.4570142
175	114.1898511
176	114.081769
177	113.9557729
178	113.813104
179	113.6181774
180	113.4715532
181	113.3223456
182	113.2416104
183	113.1118039
184	113.0269584
185	112.8681534
186	112.7091156
187	112.5984398
188	112.4612838
189	112.3237651
190	112.1991447
191	112.1236234
192	111.9359969
193	111.7947828
194	111.5965438
195	111.4930643
196	111.4327587
197	111.3476427
198	111.2179749
199	111.0863038
200	110.9896612
201	110.9089038
202	110.828083
203	110.7304818
204	110.6027681
205	110.5014667
206	110.35325
207	110.2669841
208	110.1584479
209	109.9913818
210	109.9185488
211	109.8654931
212	109.8092273
213	109.7230419
214	109.5593965
215	109.4179909
216	109.3333345
217	109.2230768
218	109.1697276
219	109.1068245
220	109.0613825
221	108.9755559
222	108.8622744
223	108.7059543
224	108.4853522
225	108.4093103
226	108.2763585
227	108.2021192
228	108.1680418
229	108.1090746
230	107.9782635
231	107.7069105
232	107.5686601
233	107.4341728
234	107.3532227
235	107.2744923
236	107.0905969
237	107.0248841
238	106.8629952
239	106.8025772
240	106.6667589
241	106.3951594
242	106.2699762
243	106.1572242
